rank,_input,prodLink,name,asin,salesprice
47,Dyson Fans,https://www.amazon.com/LivePure-Blade-Bladeless-Circulating-inches/dp/B087D65HVK/ref=sr_1_47?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-47,"LivePure Blade, Tall Bladeless Fan, Air Circulating Tower, 11.22 x 10.95 x 43.31 inches, 8.6 lbs, White",B087D65HVK,$99.99
48,Dyson Fans,https://www.amazon.com/Dyson-Remote-Control-Purifying-969154-01/dp/B07Z7SMKX2/ref=sr_1_48?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-48,"Dyson Remote Control (Blue) for TP04 Pure Cool Purifying Fan, Part No. 969154-01",B07Z7SMKX2,$63.99
49,Dyson Fans,https://www.amazon.com/Lasko-2535-Space-Saving-Pedestal-Control/dp/B000RMJANY/ref=sr_1_49?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-49,Lasko 2535 52″ Space-Saving Pedestal Tower Fan with Remote Control - Features Built-in Timer and Wide Spread Oscillation,B000RMJANY,
50,Dyson Fans,https://www.amazon.com/Vornado-Full-Size-Circulator-Adjustable-Height/dp/B000E5XNAK/ref=sr_1_50?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-50,Vornado 783 Full-Size Whole Room Air Circulator Fan with Adjustable Height,B000E5XNAK,$129.99
51,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03149702PCDT1TIHH5XO&url=%2FBladeless-Heater-Control-Circulator-Conditioner%2Fdp%2FB08CX44BKH%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762611%26sr%3D8-51-spons%26psc%3D1&qualifier=1614762611&id=1203245652556898&widgetName=sp_btf,"AB09 Bladeless Heater Fan & 9 Speeds 32 Inchs Tower Fan with Remote Control, 1900W Space Heater and Air Circulator Fan for Home Air Conditioner, White/Blue",B08CX44BKH,$179.00
52,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03732961RUK0NK5TKPGJ&url=%2FRowenta-Oscillating-Control-Standing-5-Speed%2Fdp%2FB071JBX9MQ%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762611%26sr%3D8-52-spons%26psc%3D1&qualifier=1614762611&id=1203245652556898&widgetName=sp_btf,"Rowenta VU5670 Turbo Silence Oscillating Fan, Standing Fan, 5 Speed Fan with Remote Control",B071JBX9MQ,$121.93
53,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0576249185GVVVLERX46&url=%2FDyson-Remote-Control-Heater-966538-02%2Fdp%2FB07Z7T5PJN%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762611%26sr%3D8-53-spons%26psc%3D1&qualifier=1614762611&id=1203245652556898&widgetName=sp_btf,"Dyson Remote Control (Iron) for AM09 Hot + Cool Heater Fan, Part No. 966538-02",B07Z7T5PJN,$63.54
54,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01901432A6A4L1BQFU6I&url=%2FULTTY-Purifier-Standing-Control-Oscillating%2Fdp%2FB087LSVJPZ%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762611%26sr%3D8-54-spons%26psc%3D1%26smid%3DAN6RSGGPMRUM1&qualifier=1614762611&id=1203245652556898&widgetName=sp_btf,ULTTY Bladeless Fan and Air Purifier in one | True HEPA Filter 99.97% Smoke Dust Pollen Dander | Oscillating Tower Fan with Remote Control R21 White,B087LSVJPZ,$142.99
55,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09650592ZB19XC8LFLGN&url=%2FDista-Filter-Replacement-Compatible-No-970341-01%2Fdp%2FB08G6F9161%2Fref%3Dsr_1_55_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762611%26sr%3D8-55-spons%26psc%3D1&qualifier=1614762611&id=1203245652556898&widgetName=sp_btf,"Dista Filter - Air Purifier Filter Replacement Compatible with Dyson HP06, TP06, PH01,PH02, (Part No.970341-01) for Dyson Pure Cool/Hot/Humidify CRYPTOMIC Tower Fan Purifiers (Qty 2)",B08G6F9161,$59.99
56,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A037044438RVL5E0CMJL9&url=%2FDyson-919591-01-Replacement-remote-control%2Fdp%2FB0797XLL19%2Fref%3Dsr_1_56_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762611%26sr%3D8-56-spons%26psc%3D1&qualifier=1614762611&id=1203245652556898&widgetName=sp_btf,Dyson 919591-01 Replacement remote control AM03 Dyson AM03 Pedestal Fan Iron/Blue AM02 Dyson AM02 fan,B0797XLL19,$64.99
57,Dyson Fans,https://www.amazon.com/Dyson-Remote-Control-Purifying-969897-02/dp/B07Z7SG3NR/ref=sr_1_57?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-57,"Dyson Remote Control (Blue) for HP04 Hot + Cool Purifying Heater Fan, Part No. 969897-02",B07Z7SG3NR,$53.99
58,Dyson Fans,https://www.amazon.com/Genuine-Dyson-Release-Adaptor-967752-01/dp/B07D1R39S7/ref=sr_1_58?dchild=1&keywords=dyson+fan&qid=1614762611&sr=8-58,Genuine Dyson V7 V8 Quick Release Up Top Adaptor Tool 967752-01,B07D1R39S7,
59,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08397712ZZ26B652K0XJ&url=%2FOcean-Loong-Bladeless-Remote-Control%2Fdp%2FB07YX17CHC%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-49-spons%26psc%3D1&qualifier=1614762620&id=8398453564586901&widgetName=sp_atf_next,"AB01 Bladeless Tower Fan, 26 Inches 9 Speeds & 9H Timer Table Fan, White Air Circulator Fan for Bedroom Office",B07YX17CHC,$119.00
60,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04073162QGMSRWASJW6T&url=%2FHoneywell-HTF210B-Quiet-Personal-Table%2Fdp%2FB00YU1O15U%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-50-spons%26psc%3D1&qualifier=1614762620&id=8398453564586901&widgetName=sp_atf_next,Honeywell HTF210B Quiet Set Personal Table Fan,B00YU1O15U,$24.99
61,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03149702PCDT1TIHH5XO&url=%2FBladeless-Heater-Control-Circulator-Conditioner%2Fdp%2FB08CX44BKH%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-51-spons%26psc%3D1&qualifier=1614762620&id=8398453564586901&widgetName=sp_atf_next,"AB09 Bladeless Heater Fan & 9 Speeds 32 Inchs Tower Fan with Remote Control, 1900W Space Heater and Air Circulator Fan for Home Air Conditioner, White/Blue",B08CX44BKH,$179.00
62,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A037956612KC1KQQIWMGR&url=%2FOcean-Loong-AB18G-Circulator-Conditioner%2Fdp%2FB08CBVTFGW%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-52-spons%26psc%3D1&qualifier=1614762620&id=8398453564586901&widgetName=sp_atf_next,"AB18G Bladeless Tower Fan, 9 Speeds & 32 inchs Leafless Fan with Remote Control,Air Circulator Fan for Home Air Conditioner, Grey/Silver…",B08CBVTFGW,$135.00
63,Dyson Fans,https://www.amazon.com/Rowenta-Silence-Extreme-Electronic-control/dp/B06WD44Z47/ref=sr_1_53?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-53,"Rowenta VU2660 Turbo Silence Fan, Table Fan, Portable Fan, 5 Speed Fan with Remote Control",B06WD44Z47,$85.00
64,Dyson Fans,https://www.amazon.com/Black-Decker-inches-Frameless-Tabletop/dp/B06WP6CY4G/ref=sr_1_54?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-54,BLACK+DECKER Mini Box Fan – Tabletop Quiet 9 Inch Desk Box Fans Frameless BFB09W White,B06WP6CY4G,$17.30
65,Dyson Fans,https://www.amazon.com/Lasko-2510-White/dp/B001V9DYNO/ref=sr_1_55?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-55,"Lasko 2510 Oscillating Tower Fan, 36 Inch, White",B001V9DYNO,
66,Dyson Fans,https://www.amazon.com/Dyson-Remote-Control-Purifying-969154-04/dp/B07Z7R4RGY/ref=sr_1_56?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-56,"Dyson Remote Control (Blue) for DP04 Pure Cool Purifying Fan, Part No. 969154-04",B07Z7R4RGY,$64.99
67,Dyson Fans,https://www.amazon.com/Lasko-Wind-Curve-Tower-Size/dp/B000RL1WNQ/ref=sr_1_57?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-57,"Lasko Wind Curve Portable Electric 42"" Oscillating Tower Fan with Fresh Air Ionizer, Timer and Remote Control for Indoor, Bedroom and Home Office Use, Silverwood 2554",B000RL1WNQ,
68,Dyson Fans,https://www.amazon.com/Vornado-Mid-Size-Whole-Room-Circulator/dp/B000E5WAUO/ref=sr_1_58?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-58,Vornado 630 Mid-Size Whole Room Air Circulator Fan,B000E5WAUO,$64.99
69,Dyson Fans,https://www.amazon.com/Honeywell-Fresh-Breeze-Remote-Control/dp/B075SRW48D/ref=sr_1_49?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-49,"Honeywell Fresh Breeze Tower Fan with Remote Control HYF048 Black With Programmable Thermostat, Timer Shut-Off Function & Dust Filter",B075SRW48D,$69.99
70,Dyson Fans,https://www.amazon.com/Vornado-Whole-Room-Tower-Circulator/dp/B004HIAT2K/ref=sr_1_50?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-50,"Vornado 184 Whole Room Air Circulator Tower Fan, 41"", 184-41"", Black",B004HIAT2K,
71,Dyson Fans,https://www.amazon.com/Dyson-Replacement-Control-965824-07-Purifiers/dp/B079FNFQBB/ref=sr_1_51?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-51,Dyson Replacement Remote Control 965824-07 for Model AM11 Pure Cool Purifiers,B079FNFQBB,$57.03
72,Dyson Fans,https://www.amazon.com/BLACK-DECKER-BFT114-14-Inch-Tower/dp/B07SKC1TLJ/ref=sr_1_52?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-52,BLACK+DECKER Mini Tower Fan - Quiet Oscillating Stand up 14 Inch Desk Fans,B07SKC1TLJ,$21.97
73,Dyson Fans,https://www.amazon.com/Purifier-Zigma-Purifiers-Cleaners-Aerio-300/dp/B08BHRCLYL/ref=sr_1_53?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-53,"Zigma Air Purifier for Large Room up to 1580 ft2, Available for California, True HEPA 5-in-1 Smart Air Purifiers for Home w/Voice Control for Dust, Pollen, Pet Hair, Smoke, Air Cleaner for Bedroom, Office, Kitchen Aerio-300",B08BHRCLYL,$269.96
74,Dyson Fans,https://www.amazon.com/OION-Purifier-Speeds-Sanitizer-Black/dp/B073VXRQZW/ref=sr_1_54?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-54,OION 4-in-1 True HEPA Air Purifier 3 Speeds Plus UV-C Sanitizer (Black),B073VXRQZW,$57.95
75,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01901432A6A4L1BQFU6I&url=%2FULTTY-Purifier-Standing-Control-Oscillating%2Fdp%2FB087LSVJPZ%2Fref%3Dsr_1_55_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-55-spons%26psc%3D1%26smid%3DAN6RSGGPMRUM1&qualifier=1614762620&id=8398453564586901&widgetName=sp_mtf,ULTTY Bladeless Fan and Air Purifier in one | True HEPA Filter 99.97% Smoke Dust Pollen Dander | Oscillating Tower Fan with Remote Control R21 White,B087LSVJPZ,$142.99
76,Dyson Fans,https://www.amazon.com/10000mAh-Telescopic-Automatic-Oscillation-Adjustment/dp/B088JWVF7D/ref=sr_1_56?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-56,"10000mAh Telescopic Standing Fan, Portable Folding Fan Table Fan Floor Fan, Battery Operated Desk Fan with Automatic Oscillation, 3 Speed Settings, Height Adjustment, Super Quiet for Home, Outdoor",B088JWVF7D,$59.99
77,Dyson Fans,https://www.amazon.com/Dyson-AM01-table-fan-White/dp/B0076ZGGHI/ref=sr_1_57?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-57,"Dyson AM01 10"" table fan, White",B0076ZGGHI,
78,Dyson Fans,https://www.amazon.com/HealSmart-32-inch-Space-Heater-Bladeless/dp/B08SBL5JMQ/ref=sr_1_58?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-58,"HealSmart 32-inch Space Heater Bladeless Tower Fan, Heater & Fan Combo, 9H Timer 10 Speeds with Remote Control, Air Circulator Fan for Home Air Conditioner, White",B08SBL5JMQ,$149.99
79,Dyson Fans,https://www.amazon.com/Hestom-Purifier-Cleaner-Coverage-Negative/dp/B088R9YGWV/ref=sr_1_59?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-59,"Hestom Air Purifier for Home Large Room, H13 True HEPA Air Cleaner,1500 Sq Ft Coverage, Perfect for Pets, Low Noise, Auto Mode, 3 Fans Setting, Negative Ion, Matte White",B088R9YGWV,$269.50
80,Dyson Fans,https://www.amazon.com/Afloia-Purifier-Smokers-Allergies-Analysis/dp/B08K8D55YN/ref=sr_1_60?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-60,"Afloia Gala Air Purifier for Home Smokers Allergies and Pets Hair, Air Quality Analysis,True HEPA Filter Air Purifier for Bedroom",B08K8D55YN,$79.99
81,Dyson Fans,https://www.amazon.com/Afloia-Alleviates-Allergies-Eliminates-Ultra-Silent/dp/B088FBV45W/ref=sr_1_61?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-61,"Afloia HEPA Air Purifier for Home Bedroom, H13 True HEPA Filter with 3 Stage Filtration Remove 99.97% Dust Mold Pollen Smoke Pet Dander, 20dB Quiet Desktop Air Cleaner, Timer, 100% Ozone Free, White",B088FBV45W,$69.99
82,Dyson Fans,https://www.amazon.com/922662-09-Replacement-remote-control-heater/dp/B0797Y5ZHJ/ref=sr_1_62?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-62,Dyson 922662-09 Replacement remote control AM05 Dyson AM05 fan heater,B0797Y5ZHJ,
83,Dyson Fans,https://www.amazon.com/JLPAN-Invisible-Colorful-Dimmable-Lighting/dp/B07V3XNFHY/ref=sr_1_63?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-63,"Jinweite Ceiling Fan with Light, 22 inches LED Remote Control Fully Dimmable Lighting Modes Invisible Acrylic Blades Metal Shell Semi Flush Mount Low Profile Fan,Black",B07V3XNFHY,$199.50
84,Dyson Fans,https://www.amazon.com/Dyson-Pure-Cool-Purifier-Tower/dp/B07TCHJTH4/ref=sr_1_64?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-64,Dyson Pure Cool Blue Air Purifier Tower,B07TCHJTH4,
85,Dyson Fans,https://www.amazon.com/Honeywell-HTF210B-Quiet-Personal-Table/dp/B00YU1O15U/ref=sr_1_65?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-65,Honeywell HTF210B Quiet Set Personal Table Fan,B00YU1O15U,$24.99
86,Dyson Fans,https://www.amazon.com/Dyson-Genuine-Remote-Control-965824-02/dp/B06W9K5DDJ/ref=sr_1_66?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-66,Dyson Genuine AM06 AM07 AM08 Remote Control 965824-02 Iron,B06W9K5DDJ,
87,Dyson Fans,https://www.amazon.com/Replacement-Filter-Dyson-Purifier-968125-03/dp/B07P8BMV18/ref=sr_1_67?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-67,"Replacement Filter, for Dyson Pure Hot + Cool Link HP02 HEPA Air Purifier, Dyson Pure Cool Link Desk Purifier, Part no. 968125-03",B07P8BMV18,$21.90
88,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03732961RUK0NK5TKPGJ&url=%2FRowenta-Oscillating-Control-Standing-5-Speed%2Fdp%2FB071JBX9MQ%2Fref%3Dsr_1_68_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-68-spons%26psc%3D1&qualifier=1614762620&id=8398453564586901&widgetName=sp_mtf,"Rowenta VU5670 Turbo Silence Oscillating Fan, Standing Fan, 5 Speed Fan with Remote Control",B071JBX9MQ,$121.93
89,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00535452HPSQVE59ILJB&url=%2FHONEYWELL-Dreamweaver-Sleep-Fan-Black%2Fdp%2FB07M5N3KFQ%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-69-spons%26psc%3D1&qualifier=1614762620&id=8398453564586901&widgetName=sp_mtf,Honeywell Dreamweaver Sleep Black – Personal Fan with Pink Noise – USB Charging Port and On/Off Airflow for Use in Any Season,B07M5N3KFQ,$59.99
90,Dyson Fans,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A09650592ZB19XC8LFLGN&url=%2FDista-Filter-Replacement-Compatible-No-970341-01%2Fdp%2FB08G6F9161%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Ddyson%2Bfan%26qid%3D1614762620%26sr%3D8-70-spons%26psc%3D1&qualifier=1614762620&id=8398453564586901&widgetName=sp_mtf,"Dista Filter - Air Purifier Filter Replacement Compatible with Dyson HP06, TP06, PH01,PH02, (Part No.970341-01) for Dyson Pure Cool/Hot/Humidify CRYPTOMIC Tower Fan Purifiers (Qty 2)",B08G6F9161,$59.99
91,Dyson Fans,https://www.amazon.com/Dyson-303516-01-Humidifier-Black-Nickel/dp/B00YUFREKK/ref=sr_1_71?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-71,"Dyson 303516-01 AM10 Humidifier, Black/Nickel",B00YUFREKK,
92,Dyson Fans,https://www.amazon.com/Durabasics-Compatible-Replacements-Purifier-Replacement/dp/B07YW44K6M/ref=sr_1_72?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-72,"Durabasics TP04, HP04 & DP04 Compatible Dyson Filter Replacements for Dyson Air Purifier & Dyson Pure Cool Filter | Compatible Dyson Air Filter Replacement & Dyson Fan Filter for Dyson HP04 TP04 DP04",B07YW44K6M,$39.99
93,Dyson Fans,https://www.amazon.com/Sharper-Image-SBS2-SI-Personal-Operation/dp/B07VZKV65M/ref=sr_1_73?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-73,"Sharper Image SBS2-SI Medium Personal USB Fan with Soft Blades, 3 Speeds, Touch Control, Quiet Operation, 5V Wall Adapter, 6 ft. Cable, White/Ash",B07VZKV65M,$29.99
94,Dyson Fans,https://www.amazon.com/Rechargeable-Electrical-Portable-Purifier-Housework/dp/B08HYZTFQ4/ref=sr_1_74?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-74,"Rechargeable Electrical Portable Air Purifier, Reusable 3 Speeds Fan Modes Air Purifier with HEPA Filter for Outdoor Sports Housework",B08HYZTFQ4,$54.99
95,Dyson Fans,https://www.amazon.com/Rowenta-Oscillating-Control-Standing-5-Speed/dp/B071JBX9MQ/ref=sr_1_75?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-75,"Rowenta VU5670 Turbo Silence Oscillating Fan, Standing Fan, 5 Speed Fan with Remote Control",B071JBX9MQ,$121.93
96,Dyson Fans,https://www.amazon.com/AIRMEGA-Smarter-Enabled-Purifier-Compatible/dp/B01C9RIARQ/ref=sr_1_76?dchild=1&keywords=dyson+fan&qid=1614762620&sr=8-76,"AIRMEGA 300S The Smarter App Enabled Air Purifier (Covers 1256 sq. ft.),Compatible with Alexa",B01C9RIARQ,$517.00
